item_code,model_name,item_category,phase_in_at,vertical_name,sku
51.99066,Cloudflyer Wide,Shoes,2021-06-03T00:00:00Z,Performance Running,Cloudflyer Wide W Black | White
26.98719,Cloudnova Atmos,Shoes,2022-01-01T00:00:00Z,Performance All Day,Cloudnova Atmos M Midnight | Black
26.98403,Cloudnova Atmos,Shoes,2021-10-23T00:00:00Z,Performance All Day,Cloudnova Atmos M Natural | Indigo
26.98718,Cloudnova Atmos,Shoes,2022-01-01T00:00:00Z,Performance All Day,Cloudnova Atmos W Midnight | Black
26.98402,Cloudnova Atmos,Shoes,2021-10-23T00:00:00Z,Performance All Day,Cloudnova Atmos W Natural | Indigo
44.99092,Cloudultra Nite,Shoes,2022-01-27T00:00:00Z,Performance All Day,Cloudultra Nite M Navy | Midnight
44.99091,Cloudultra Nite,Shoes,2022-01-27T00:00:00Z,Performance All Day,Cloudultra Nite W Navy | Midnight
194.00489,Explorer Jacket,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Jacket M Hail
194.00490,Explorer Jacket,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Jacket M Navy | Flint
294.00491,Explorer Jacket,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Jacket W Hail
294.00492,Explorer Jacket,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Jacket W Granite | Flint
175.00480,Explorer Shorts,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Shorts M Hail
175.00697,Explorer Shorts,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Shorts M Navy
275.00481,Explorer Shorts,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Shorts W Vine
275.00698,Explorer Shorts,Apparel,2022-03-03T00:00:00Z,Performance Outdoor,Explorer Shorts W Flint
412.01261,Lightweight-Cap,Accessories,2022-04-28T00:00:00Z,Performance Running,Lightweight Cap 1 U Navy
412.01262,Lightweight-Cap,Accessories,2022-04-28T00:00:00Z,Performance Running,Lightweight Cap 1 U Grey
941.10238,Lightweight-Cap,Accessories,2021-11-01T00:00:00Z,Performance Running,Lightweight Cap U Black
941.10239,Lightweight-Cap,Accessories,2021-11-01T00:00:00Z,Performance Running,Lightweight Cap U Grey
301.00712,Lightweight-Cap,Accessories,2021-10-07T00:00:00Z,Performance Running,Lightweight Cap U Mulberry
301.00804,Lightweight-Cap,Accessories,2022-05-05T00:00:00Z,Performance Running,Lightweight Cap U Niagara
165.00473,Movement Shorts,Apparel,2022-03-03T00:00:00Z,Performance Running,Movement Shorts M Rock
